geoName,bakery,bakery,bakery,bakery,bakery,bakery,bakery,bakery,bakery
Alabama,30,46,57,43,54,51,28,11,14
Alaska,47,0,81,36,21,24,48,26,48
Arizona,34,27,23,28,31,29,27,22,19
Arkansas,35,38,60,40,48,56,30,20,31
California,71,61,60,59,50,65,44,43,39
Colorado,46,35,45,39,31,44,33,28,21
Connecticut,76,47,73,68,63,87,61,50,59
Delaware,39,53,29,45,46,33,40,19,12
District of Columbia,69,66,74,53,100,80,63,61,15
Florida,53,39,44,50,42,50,36,28,33
Georgia,43,37,46,43,39,42,31,25,16
Hawaii,100,100,100,100,93,79,73,58,66
Idaho,20,15,18,49,22,58,31,13,40
Illinois,69,46,51,54,51,63,46,38,39
Indiana,45,37,49,42,43,64,35,31,31
Iowa,36,27,27,44,36,49,23,16,4
Kansas,16,31,39,47,20,40,15,27,14
Kentucky,36,36,39,31,38,42,36,27,13
Louisiana,40,50,59,45,41,71,33,35,13
Maine,66,62,52,41,96,99,55,60,100
Maryland,57,47,46,49,40,43,30,26,17
Massachusetts,88,73,80,78,75,82,56,51,40
Michigan,54,44,42,42,41,52,40,33,27
Minnesota,39,36,39,46,34,50,54,28,10
Mississippi,38,29,32,17,29,35,20,15,11
Missouri,37,23,27,30,40,59,37,22,15
Montana,42,19,31,48,31,71,33,31,14
Nebraska,26,25,44,33,48,56,36,12,19
Nevada,48,64,50,66,50,47,26,28,26
New Hampshire,71,70,80,63,65,77,37,39,25
New Jersey,82,62,63,67,55,59,55,54,47
New Mexico,25,27,18,23,38,66,29,17,32
New York,85,67,75,76,64,82,61,54,43
North Carolina,44,38,47,30,35,46,30,22,20
North Dakota,18,17,39,70,40,18,12,20,35
Ohio,45,39,51,38,38,50,31,23,21
Oklahoma,44,29,41,31,16,37,21,12,15
Oregon,63,49,55,54,52,76,50,39,38
Pennsylvania,64,54,67,54,56,68,44,39,35
Rhode Island,100,82,72,73,86,75,100,100,44
South Carolina,49,34,36,41,29,52,25,19,16
South Dakota,54,32,0,52,16,0,47,27,0
Tennessee,22,23,41,28,42,40,29,25,13
Texas,50,45,46,40,44,54,35,27,27
Utah,38,47,48,62,33,52,27,18,8
Vermont,85,60,24,66,89,100,38,33,21
Virginia,46,39,50,41,34,46,37,22,19
Washington,54,44,52,55,50,52,40,35,27
West Virginia,13,29,24,22,32,32,30,13,17
Wisconsin,53,45,55,42,44,66,35,30,23
Wyoming,26,25,30,28,25,28,38,45,27
