geoName,bar,bar,bar,bar,bar,bar,bar,bar,bar
Alabama,53,59,64,52,57,50,59,50,43
Alaska,50,55,66,66,74,66,76,73,75
Arizona,67,75,60,68,76,56,69,68,53
Arkansas,57,55,41,64,67,41,45,63,68
California,60,66,67,57,67,55,59,58,51
Colorado,65,72,74,66,79,71,76,73,60
Connecticut,62,51,65,63,76,55,73,71,46
Delaware,73,67,80,61,64,48,61,56,47
District of Columbia,100,72,84,75,59,82,92,94,48
Florida,79,80,80,74,81,72,82,81,67
Georgia,73,74,70,65,73,63,81,76,66
Hawaii,58,90,72,76,68,70,69,68,77
Idaho,52,60,60,51,68,57,64,79,41
Illinois,69,61,66,68,77,63,73,65,58
Indiana,56,62,61,60,65,54,67,63,56
Iowa,72,75,74,57,74,44,70,75,45
Kansas,54,66,68,64,52,63,72,64,58
Kentucky,53,49,56,48,60,45,59,50,26
Louisiana,55,65,64,55,87,62,68,74,73
Maine,69,81,90,92,77,67,86,64,50
Maryland,54,61,63,59,58,48,65,47,54
Massachusetts,62,63,59,57,78,61,68,66,69
Michigan,69,75,79,70,71,59,66,61,48
Minnesota,75,78,74,73,80,72,82,71,65
Mississippi,47,43,45,50,66,33,43,56,39
Missouri,74,74,90,62,71,58,77,61,50
Montana,64,79,100,100,86,61,89,64,26
Nebraska,68,77,80,68,100,69,84,88,100
Nevada,65,83,84,65,67,65,62,56,47
New Hampshire,59,81,80,72,68,47,46,67,37
New Jersey,58,65,68,57,68,50,51,60,54
New Mexico,51,61,63,68,52,35,48,38,44
New York,66,67,70,66,72,56,69,65,47
North Carolina,64,60,64,57,64,57,70,65,59
North Dakota,81,64,43,69,68,45,83,47,11
Ohio,63,66,70,62,70,58,64,70,53
Oklahoma,52,68,75,60,67,60,54,45,45
Oregon,50,68,67,64,80,51,54,55,33
Pennsylvania,59,63,65,64,71,58,69,63,51
Rhode Island,84,89,67,71,75,47,98,78,62
South Carolina,61,68,80,65,65,55,67,81,58
South Dakota,69,68,77,60,84,42,67,59,78
Tennessee,61,70,69,69,68,46,69,64,70
Texas,76,76,77,62,77,57,71,76,57
Utah,54,52,55,52,63,47,57,73,45
Vermont,45,46,86,83,52,100,67,65,26
Virginia,63,61,66,57,66,57,60,53,46
Washington,63,72,73,60,67,47,61,54,47
West Virginia,42,41,40,49,53,55,71,51,49
Wisconsin,79,86,92,79,97,74,100,88,57
Wyoming,60,100,96,85,99,76,89,100,34
