geoName,brewery,brewery,brewery,brewery,brewery,brewery,brewery,brewery,brewery
Alabama,16,6,6,13,18,16,15,20,31
Alaska,36,100,100,45,36,44,0,46,0
Arizona,35,37,38,43,28,48,30,48,37
Arkansas,24,8,33,10,8,10,19,30,0
California,40,26,25,25,19,28,30,36,21
Colorado,77,59,66,61,36,68,61,53,84
Connecticut,42,42,49,33,43,67,56,41,32
Delaware,68,71,53,94,97,60,58,40,100
District of Columbia,67,29,82,24,20,24,42,100,41
Florida,26,15,17,15,11,20,20,26,26
Georgia,25,14,20,24,12,22,29,26,16
Hawaii,15,14,21,27,30,18,14,32,0
Idaho,30,11,42,22,12,15,24,27,0
Illinois,24,17,26,26,21,36,21,23,19
Indiana,37,24,31,41,26,23,37,38,31
Iowa,23,37,45,20,27,33,19,32,0
Kansas,20,25,46,27,11,23,21,43,26
Kentucky,22,18,13,9,15,24,10,23,9
Louisiana,25,34,16,12,10,18,22,25,9
Maine,46,28,42,38,31,47,45,51,27
Maryland,41,19,14,20,22,37,49,45,19
Massachusetts,53,28,39,39,44,63,68,54,25
Michigan,39,28,31,32,28,36,37,40,29
Minnesota,48,20,26,39,38,53,50,34,17
Mississippi,35,8,0,21,9,11,0,9,15
Missouri,50,26,34,33,27,35,16,33,12
Montana,84,49,85,25,42,52,71,72,75
Nebraska,39,18,34,24,10,24,14,35,34
Nevada,20,16,24,28,18,21,22,6,20
New Hampshire,100,43,37,41,68,100,100,79,68
New Jersey,39,24,26,21,19,31,36,36,22
New Mexico,53,58,26,24,24,18,34,54,69
New York,38,18,21,19,18,28,40,42,17
North Carolina,62,29,36,38,28,47,57,54,39
North Dakota,28,0,36,0,0,32,0,0,0
Ohio,38,23,21,26,22,36,36,30,31
Oklahoma,36,5,32,21,26,32,36,15,10
Oregon,48,36,33,48,31,24,40,33,16
Pennsylvania,61,33,48,31,35,54,52,47,28
Rhode Island,40,14,89,51,34,21,17,18,59
South Carolina,14,27,42,20,29,23,26,29,21
South Dakota,26,24,0,0,0,67,51,56,48
Tennessee,41,23,17,22,18,30,42,41,39
Texas,27,19,16,16,15,25,25,26,16
Utah,20,8,12,28,29,28,20,32,41
Vermont,48,30,88,100,100,81,65,34,0
Virginia,68,35,35,28,27,35,60,60,42
Washington,49,40,38,36,27,35,43,51,45
West Virginia,33,24,0,0,14,0,26,28,0
Wisconsin,46,21,27,46,25,33,48,43,68
Wyoming,39,72,56,51,42,50,81,0,0
