geoName,covid,covid,covid,covid,covid,covid,covid,covid,covid
Alabama,28,31,28,31,31,33,33,36,27
Alaska,81,83,68,78,71,78,80,71,51
Arizona,44,47,48,56,53,57,58,58,42
Arkansas,37,35,37,44,43,45,46,46,39
California,42,47,51,58,49,54,57,55,43
Colorado,73,72,76,100,89,91,92,100,86
Connecticut,64,64,63,74,71,74,71,68,54
Delaware,41,58,68,73,57,61,66,60,53
District of Columbia,42,57,61,60,57,65,67,65,40
Florida,33,36,34,40,37,41,42,42,34
Georgia,27,30,29,34,32,35,34,39,28
Hawaii,47,46,49,58,52,54,60,51,43
Idaho,58,53,52,58,52,55,54,63,34
Illinois,60,61,61,70,63,63,66,63,48
Indiana,54,58,56,66,64,66,62,59,45
Iowa,60,62,64,75,61,63,55,60,44
Kansas,50,52,60,65,55,57,56,53,41
Kentucky,46,49,48,65,66,69,62,56,43
Louisiana,27,27,27,31,33,35,30,33,27
Maine,58,59,63,67,59,65,70,73,50
Maryland,49,51,50,60,53,55,57,58,42
Massachusetts,57,58,56,62,62,65,68,69,51
Michigan,64,74,63,61,56,56,61,58,45
Minnesota,79,82,80,96,100,100,86,81,62
Mississippi,25,25,24,30,28,30,29,28,19
Missouri,49,52,52,58,52,55,51,57,45
Montana,69,62,61,73,72,70,60,70,57
Nebraska,55,57,66,68,63,62,55,58,48
Nevada,47,48,45,52,49,54,58,54,37
New Hampshire,64,66,58,66,68,76,72,77,53
New Jersey,51,54,55,64,58,62,61,61,48
New Mexico,64,64,59,69,79,87,79,78,57
New York,51,51,47,56,51,52,56,60,46
North Carolina,32,35,36,45,41,40,42,39,35
North Dakota,68,65,56,69,64,60,70,59,41
Ohio,56,59,58,70,70,71,66,61,42
Oklahoma,42,49,49,49,47,52,52,51,38
Oregon,68,60,55,58,56,60,56,55,48
Pennsylvania,50,59,65,73,69,67,64,61,46
Rhode Island,58,61,69,79,74,78,80,61,43
South Carolina,25,30,29,36,34,37,37,36,26
South Dakota,66,58,60,67,68,73,63,67,56
Tennessee,36,41,37,44,47,47,49,49,42
Texas,36,37,36,45,42,42,45,43,33
Utah,58,60,54,65,57,58,60,58,46
Vermont,100,100,100,96,87,96,100,96,100
Virginia,45,44,43,51,46,49,51,48,35
Washington,84,89,69,63,59,55,60,62,41
West Virginia,59,58,51,51,58,61,58,61,43
Wisconsin,52,56,55,64,63,63,57,54,43
Wyoming,59,57,66,72,70,74,67,60,54
