geoName,Movie Theater,Movie Theater,Movie Theater,Movie Theater,Movie Theater,Movie Theater,Movie Theater,Movie Theater,Movie Theater
Alabama,39,42,24,27,29,50,29,50,48
Alaska,0,0,44,0,0,68,43,0,67
Arizona,24,13,16,20,11,19,17,19,10
Arkansas,25,41,15,19,10,60,42,37,44
California,18,22,13,18,11,26,12,8,18
Colorado,15,17,20,12,11,28,28,24,5
Connecticut,19,20,6,10,8,21,11,12,8
Delaware,20,24,23,88,23,37,71,66,35
District of Columbia,0,40,25,61,24,0,52,0,0
Florida,24,25,19,14,21,38,23,22,20
Georgia,35,33,20,27,24,50,35,28,20
Hawaii,31,19,0,23,53,70,53,42,53
Idaho,31,46,38,19,0,35,30,33,23
Illinois,26,35,16,15,14,29,23,16,12
Indiana,27,24,17,14,20,43,25,15,22
Iowa,46,46,36,41,20,44,38,30,48
Kansas,40,10,18,34,13,21,26,22,0
Kentucky,20,24,21,46,24,14,6,14,27
Louisiana,47,31,23,19,6,32,18,13,19
Maine,31,19,19,36,18,29,19,14,28
Maryland,19,17,11,16,14,22,22,17,24
Massachusetts,9,8,12,20,11,7,22,22,13
Michigan,41,22,18,15,9,9,9,10,17
Minnesota,44,39,24,27,19,33,35,22,24
Mississippi,49,22,31,13,31,65,47,40,48
Missouri,20,21,16,36,18,45,36,20,31
Montana,0,26,26,0,25,100,25,81,0
Nebraska,30,19,12,38,24,37,28,39,18
Nevada,27,29,14,22,10,33,17,44,10
New Hampshire,20,25,25,21,16,26,16,25,0
New Jersey,25,7,19,14,10,25,18,17,7
New Mexico,10,12,24,15,0,28,12,19,18
New York,21,20,14,17,9,20,18,13,8
North Carolina,53,18,10,23,26,25,29,28,22
North Dakota,43,68,32,0,32,76,64,52,100
Ohio,27,20,14,18,15,15,19,22,25
Oklahoma,28,11,22,45,42,44,21,22,0
Oregon,25,33,19,10,13,21,21,8,8
Pennsylvania,25,24,16,24,12,22,14,17,17
Rhode Island,0,39,0,0,20,48,41,16,0
South Carolina,27,23,27,25,15,54,42,26,7
South Dakota,54,82,48,40,32,52,32,100,0
Tennessee,29,28,20,19,13,26,18,23,36
Texas,27,25,21,25,18,32,30,28,28
Utah,24,18,14,36,31,38,21,15,21
Vermont,64,0,40,100,40,0,0,37,0
Virginia,24,11,11,13,10,27,26,16,15
Washington,29,27,27,9,4,26,7,5,13
West Virginia,14,17,32,20,16,51,24,38,24
Wisconsin,21,16,24,31,26,31,22,19,12
Wyoming,100,100,100,64,100,80,100,39,0
